,year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,gross_gain,net_gain
128,2015,July-September,South Carolina,12000.0,12000.0,2000.0,17.0,880.0,580.0,5.0,1460.0,-540.0
129,2015,July-September,South Dakota,295000.0,295000.0,53000.0,18.0,2100.0,13000.0,4.0,15100.0,-37900.0
130,2015,July-September,Tennessee,10000.0,10000.0,1200.0,12.0,500.0,350.0,4.0,850.0,-350.0
131,2015,July-September,Texas,76000.0,136000.0,16500.0,12.0,5500.0,4800.0,4.0,10300.0,-6200.0
132,2015,July-September,Utah,31000.0,36000.0,8000.0,22.0,1400.0,2200.0,6.0,3600.0,-4400.0
133,2015,July-September,Vermont,6000.0,6500.0,40.0,1.0,30.0,20.0,,50.0,10.0
134,2015,July-September,Virginia,8000.0,8000.0,680.0,9.0,520.0,220.0,3.0,740.0,60.0
135,2015,July-September,Washington,84000.0,97000.0,11500.0,12.0,1800.0,20000.0,21.0,21800.0,10300.0
136,2015,July-September,West Virginia,7000.0,7000.0,300.0,4.0,300.0,270.0,4.0,570.0,270.0
137,2015,July-September,Wisconsin,60000.0,62000.0,9000.0,15.0,1300.0,4300.0,7.0,5600.0,-3400.0
138,2015,July-September,Wyoming,29000.0,35000.0,2500.0,7.0,270.0,440.0,1.0,710.0,-1790.0
139,2015,July-September,Other States,12180.0,12280.0,900.0,7.0,1050.0,700.0,6.0,1750.0,850.0
141,2015,October-December,Alabama,8000.0,8000.0,610.0,8.0,80.0,60.0,1.0,140.0,-470.0
142,2015,October-December,Arizona,36000.0,39000.0,12000.0,31.0,3000.0,16000.0,41.0,19000.0,7000.0
143,2015,October-December,Arkansas,23000.0,27000.0,2400.0,9.0,1900.0,0.0,,1900.0,-500.0
144,2015,October-December,California,750000.0,1260000.0,149000.0,12.0,39000.0,75000.0,6.0,114000.0,-35000.0
145,2015,October-December,Colorado,24000.0,24000.0,2500.0,10.0,3400.0,0.0,,3400.0,900.0
146,2015,October-December,Connecticut,3200.0,3200.0,210.0,7.0,40.0,70.0,2.0,110.0,-100.0
147,2015,October-December,Florida,220000.0,260000.0,37000.0,14.0,30000.0,28000.0,11.0,58000.0,21000.0
148,2015,October-December,Georgia,110000.0,121000.0,18000.0,15.0,4400.0,1900.0,2.0,6300.0,-11700.0
149,2015,October-December,Hawaii,13000.0,13000.0,690.0,5.0,2700.0,760.0,6.0,3460.0,2770.0
150,2015,October-December,Idaho,121000.0,145000.0,22000.0,15.0,5500.0,5500.0,4.0,11000.0,-11000.0
151,2015,October-December,Illinois,14000.0,14000.0,690.0,5.0,0.0,30.0,,30.0,-660.0
152,2015,October-December,Indiana,11500.0,11500.0,1100.0,10.0,140.0,0.0,,140.0,-960.0
153,2015,October-December,Iowa,35000.0,35000.0,4300.0,12.0,40.0,30.0,,70.0,-4230.0
154,2015,October-December,Kansas,8500.0,8500.0,3400.0,40.0,50.0,20.0,,70.0,-3330.0
155,2015,October-December,Kentucky,8500.0,8500.0,1100.0,13.0,20.0,10.0,,30.0,-1070.0
156,2015,October-December,Louisiana,55000.0,71000.0,4900.0,7.0,1100.0,2400.0,3.0,3500.0,-1400.0
157,2015,October-December,Maine,4700.0,4700.0,60.0,1.0,530.0,20.0,,550.0,490.0
158,2015,October-December,Maryland,7500.0,9500.0,730.0,8.0,0.0,0.0,,0.0,-730.0
159,2015,October-December,Massachusetts,4500.0,4500.0,260.0,6.0,30.0,30.0,1.0,60.0,-200.0
160,2015,October-December,Michigan,67000.0,73000.0,9000.0,12.0,210.0,1600.0,2.0,1810.0,-7190.0
161,2015,October-December,Minnesota,104000.0,105000.0,10000.0,10.0,600.0,40.0,,640.0,-9360.0
162,2015,October-December,Mississippi,31000.0,34000.0,1500.0,4.0,500.0,230.0,1.0,730.0,-770.0
163,2015,October-December,Missouri,13500.0,13500.0,690.0,5.0,30.0,40.0,,70.0,-620.0
164,2015,October-December,Montana,116000.0,123000.0,10000.0,8.0,1000.0,80.0,,1080.0,-8920.0
165,2015,October-December,Nebraska,72000.0,73000.0,7000.0,10.0,10.0,5500.0,8.0,5510.0,-1490.0
166,2015,October-December,New Jersey,8000.0,8500.0,270.0,3.0,20.0,10.0,,30.0,-240.0
167,2015,October-December,New Mexico,6000.0,6000.0,290.0,5.0,290.0,30.0,1.0,320.0,30.0
168,2015,October-December,New York,45000.0,45000.0,4000.0,9.0,260.0,10.0,,270.0,-3730.0
169,2015,October-December,North Carolina,22000.0,22000.0,2200.0,10.0,510.0,70.0,,580.0,-1620.0
170,2015,October-December,North Dakota,230000.0,275000.0,35000.0,13.0,2700.0,9000.0,3.0,11700.0,-23300.0
171,2015,October-December,Ohio,19000.0,19000.0,2400.0,13.0,200.0,140.0,1.0,340.0,-2060.0
172,2015,October-December,Oklahoma,5000.0,10000.0,650.0,7.0,290.0,60.0,1.0,350.0,-300.0
173,2015,October-December,Oregon,100000.0,114000.0,8500.0,8.0,200.0,1400.0,1.0,1600.0,-6900.0
174,2015,October-December,Pennsylvania,22000.0,23000.0,2500.0,11.0,1300.0,6500.0,28.0,7800.0,5300.0
175,2015,October-December,South Carolina,10000.0,17500.0,2200.0,13.0,640.0,1000.0,6.0,1640.0,-560.0
176,2015,October-December,South Dakota,194000.0,205000.0,9000.0,4.0,2400.0,0.0,,2400.0,-6600.0
177,2015,October-December,Tennessee,8500.0,10000.0,1100.0,11.0,70.0,420.0,4.0,490.0,-610.0
178,2015,October-December,Texas,125000.0,250000.0,25000.0,10.0,13000.0,2000.0,1.0,15000.0,-10000.0
179,2015,October-December,Utah,28000.0,28000.0,1900.0,7.0,120.0,100.0,,220.0,-1680.0
180,2015,October-December,Vermont,6500.0,6500.0,940.0,15.0,10.0,10.0,,20.0,-920.0
181,2015,October-December,Virginia,7500.0,7500.0,750.0,10.0,0.0,350.0,5.0,350.0,-400.0
182,2015,October-December,Washington,87000.0,89000.0,6500.0,7.0,330.0,170.0,,500.0,-6000.0
183,2015,October-December,West Virginia,7000.0,7000.0,610.0,9.0,190.0,140.0,2.0,330.0,-280.0
184,2015,October-December,Wisconsin,48000.0,48000.0,6500.0,14.0,210.0,10.0,,220.0,-6280.0
185,2015,October-December,Wyoming,24000.0,25000.0,1300.0,5.0,30.0,0.0,,30.0,-1270.0
186,2015,October-December,Other States,11360.0,12560.0,1630.0,13.0,100.0,50.0,,150.0,-1480.0
188,2016,January-March,Alabama,7500.0,7500.0,1700.0,23.0,1200.0,180.0,2.0,1380.0,-320.0
189,2016,January-March,Arizona,30000.0,30000.0,4700.0,16.0,2200.0,960.0,3.0,3160.0,-1540.0
190,2016,January-March,Arkansas,27000.0,27000.0,5000.0,19.0,4700.0,2200.0,8.0,6900.0,1900.0
191,2016,January-March,California,1140000.0,1410000.0,210000.0,15.0,175000.0,63000.0,5.0,238000.0,28000.0
192,2016,January-March,Colorado,6000.0,7000.0,570.0,8.0,0.0,20.0,,20.0,-550.0
193,2016,January-March,Connecticut,2700.0,2700.0,270.0,10.0,70.0,10.0,,80.0,-190.0
194,2016,January-March,Florida,245000.0,265000.0,45000.0,17.0,36000.0,18500.0,7.0,54500.0,9500.0
195,2016,January-March,Georgia,100000.0,100000.0,20000.0,20.0,28000.0,6000.0,6.0,34000.0,14000.0
196,2016,January-March,Hawaii,15000.0,15000.0,280.0,2.0,570.0,1100.0,7.0,1670.0,1390.0
197,2016,January-March,Idaho,90000.0,97000.0,6500.0,7.0,5500.0,6500.0,7.0,12000.0,5500.0
198,2016,January-March,Illinois,7000.0,7500.0,1300.0,17.0,470.0,20.0,,490.0,-810.0
199,2016,January-March,Indiana,6500.0,6500.0,770.0,12.0,40.0,0.0,,40.0,-730.0
200,2016,January-March,Iowa,16500.0,16500.0,3200.0,19.0,90.0,0.0,,90.0,-3110.0
201,2016,January-March,Kansas,4700.0,4700.0,980.0,21.0,0.0,200.0,4.0,200.0,-780.0
202,2016,January-March,Kentucky,7000.0,7000.0,1300.0,19.0,110.0,70.0,1.0,180.0,-1120.0
203,2016,January-March,Louisiana,68000.0,69000.0,9500.0,14.0,7500.0,5500.0,8.0,13000.0,3500.0
204,2016,January-March,Maine,2200.0,3700.0,170.0,5.0,0.0,0.0,,0.0,-170.0
205,2016,January-March,Maryland,6500.0,6500.0,1400.0,22.0,40.0,20.0,,60.0,-1340.0
206,2016,January-March,Massachusetts,3000.0,3000.0,370.0,12.0,120.0,330.0,11.0,450.0,80.0
207,2016,January-March,Michigan,25000.0,37000.0,5000.0,14.0,2300.0,110.0,,2410.0,-2590.0
208,2016,January-March,Minnesota,37000.0,39000.0,6000.0,15.0,4400.0,10.0,,4410.0,-1590.0
209,2016,January-March,Mississippi,24000.0,77000.0,6500.0,8.0,11000.0,1700.0,2.0,12700.0,6200.0
210,2016,January-March,Missouri,11500.0,11500.0,1200.0,10.0,930.0,290.0,3.0,1220.0,20.0
211,2016,January-March,Montana,15500.0,48000.0,840.0,2.0,11500.0,0.0,,11500.0,10660.0
212,2016,January-March,Nebraska,10500.0,21000.0,330.0,2.0,40.0,30.0,,70.0,-260.0
213,2016,January-March,New Jersey,8500.0,8500.0,1000.0,12.0,80.0,40.0,1.0,120.0,-880.0
214,2016,January-March,New Mexico,6000.0,6500.0,1700.0,26.0,10.0,70.0,1.0,80.0,-1620.0
215,2016,January-March,New York,31000.0,31000.0,4000.0,13.0,140.0,1400.0,5.0,1540.0,-2460.0
216,2016,January-March,North Carolina,18500.0,24000.0,2500.0,10.0,80.0,840.0,4.0,920.0,-1580.0
217,2016,January-March,North Dakota,82000.0,173000.0,17000.0,10.0,0.0,0.0,,0.0,-17000.0
218,2016,January-March,Ohio,16000.0,16000.0,4200.0,26.0,760.0,100.0,1.0,860.0,-3340.0
219,2016,January-March,Oklahoma,6000.0,6000.0,2900.0,48.0,60.0,510.0,9.0,570.0,-2330.0
220,2016,January-March,Oregon,70000.0,92000.0,2800.0,3.0,3800.0,1800.0,2.0,5600.0,2800.0
221,2016,January-March,Pennsylvania,12500.0,12500.0,2900.0,23.0,220.0,340.0,3.0,560.0,-2340.0
222,2016,January-March,South Carolina,16500.0,16500.0,3400.0,21.0,2100.0,1800.0,11.0,3900.0,500.0
223,2016,January-March,South Dakota,30000.0,91000.0,770.0,1.0,30.0,0.0,,30.0,-740.0
224,2016,January-March,Tennessee,9000.0,9000.0,1700.0,19.0,100.0,150.0,2.0,250.0,-1450.0
225,2016,January-March,Texas,240000.0,290000.0,29000.0,10.0,73000.0,42000.0,15.0,115000.0,86000.0
226,2016,January-March,Utah,12000.0,12500.0,1700.0,14.0,710.0,100.0,1.0,810.0,-890.0
227,2016,January-March,Vermont,5500.0,5500.0,410.0,8.0,0.0,0.0,,0.0,-410.0
228,2016,January-March,Virginia,6500.0,6500.0,1100.0,17.0,500.0,130.0,2.0,630.0,-470.0
229,2016,January-March,Washington,78000.0,135000.0,13000.0,10.0,4200.0,2000.0,2.0,6200.0,-6800.0
230,2016,January-March,West Virginia,6500.0,7500.0,1700.0,23.0,0.0,10.0,,10.0,-1690.0
231,2016,January-March,Wisconsin,22000.0,23000.0,2900.0,13.0,530.0,0.0,,530.0,-2370.0
232,2016,January-March,Wyoming,2700.0,5000.0,340.0,7.0,0.0,0.0,,0.0,-340.0
233,2016,January-March,Other States,7290.0,7890.0,900.0,11.0,60.0,10.0,,70.0,-830.0
235,2016,April-June,Alabama,8000.0,8000.0,930.0,12.0,1200.0,690.0,9.0,1890.0,960.0
